business_name,city,website,email,finding_1,finding_2,email_sent,sent_date,replied,converted
Buchalter Dental Care,Brooklyn (Gravesend),brooklynsmilesdentalcare.com,info@brooklynsmilesdentalcare.com,Single Dentist category despite offering Invisalign/cosmetic/implants — invisible in those searches,No Spanish/Russian-speaking staff attribute in Gravesend — high-value missed signal,true,2026-04-09,,
Ridgewood Dental Care,Queens (Ridgewood),ridgewooddentalcareny.com,office@ridgewooddentalcareny.com,Offers Ortho/Invisalign/Periodontics but likely single category — invisible for specialty searches,No multilingual staff attribute in diverse Queens-Brooklyn corridor,true,2026-04-09,,
New Image Dental (Dr. Cordero),Queens (Ridgewood),fernandocorderodmd.com,info@fernandocorderodmd.com,Says Hablamos Español on site but no Spanish-speaking staff attribute on Google profile — invisible to filtering patients,Likely single base category — invisible for Cosmetic Dentist and Emergency Dentist searches,true,2026-04-09,,
Kinderee Family Pediatric Dentistry,Brooklyn (Windsor Terrace / Fort Hamilton Pkwy),kinderee.com,kinderee@gmail.com,Missing Emergency Dentist category — top search term when parents have pediatric dental trauma,No Russian/Yiddish-speaking staff attribute for Borough Park and Kensington patient base,true,2026-04-09,,
Dental Made Easy,Queens (Forest Hills),dentalmadeeasy.com,dentalmadeeasystaff@gmail.com,Offers implants/root canals/cosmetic but likely single category — invisible for targeted specialty searches,Very few photos for a well-equipped 3D imaging practice vs competing Forest Hills listings,true,2026-04-09,,
Shine DDS,Brooklyn (Bensonhurst),shinedds.com,Info@shinedds.com,Missing secondary categories (Emergency Dentist / Teeth Whitening),No Spanish/Russian-speaking staff attributes on Google listing,true,2026-04-02,,
Bay Ridge Dental (Dr. Gutwirth),Brooklyn (Bay Ridge),bayridgedental.com,davidgutwirthdds@gmail.com,Only general dentist category — missing Cosmetic Dentist & Dental Implants,Very few photos vs nearby competitors,true,2026-04-02,,
Alliance Dental Center,Queens (Jackson Heights),alliancedentalny.com,info@alliancedentalny.com,Has Spanish welcome page but no Spanish-speaking staff attribute on Google listing,Very few photos for a 20+ year practice,true,2026-04-02,,
Sheepshead Bay Oral Surgery,Brooklyn (Sheepshead Bay),sheepsheadbayoralsurgery.com,info@sheepsheadbayoralsurgery.com,Missing secondary categories (Dental Implants / Emergency Dentist),Low review velocity vs nearby competitors,true,2026-04-02,,
Liana Libin DDS,Brooklyn (Sheepshead Bay),dentist-sheepsheadbay.com,lianalibindds@gmail.com,Missing secondary categories (Cosmetic Dentist / Teeth Whitening),25-year practice with low review count relative to tenure,true,2026-04-02,,
Bensonhurst Dental Care,Brooklyn (Bensonhurst),bensonhurstdentalcare.com,info@bensonhurstdentalcare.com,Missing secondary categories (Emergency Dentist / Teeth Whitening),No Russian-speaking staff attribute — high-value gap in Bensonhurst,true,2026-04-03,,
Flatbush Dental,Brooklyn (Flatbush),flatbushdental.com,info@flatbushdental.com,Offers implants/Invisalign/whitening but only 1 Google category — invisible for those searches,Very few photos vs competing practices on same street,true,2026-04-03,,
Apprehensive Dental Care,Queens (Jackson Heights),apprehensivedentalcare.com,no-email,Missing secondary categories (Cosmetic Dentist / Emergency Dentist),No Spanish-speaking staff attribute in majority Spanish-speaking neighborhood,true,2026-04-03,,
Astoria City Dental,Queens (Astoria),astoriacitydental.com,astoriacitydental@gmail.com,Single category listing — invisible for Invisalign/emergency searches in Astoria,No multilingual staff attributes in diverse neighborhood,true,2026-04-03,,
Korngold DDS (dental-brooklyn.com),Brooklyn (Midwood),dental-brooklyn.com,info@dental-brooklyn.com,Multi-specialty practice (periodontist/oral surgeon/endo) but listed under 1 category only,Low review count relative to 40+ years in business,true,2026-04-03,,
Family Cosmetic & Implant Dentistry (Khabensky DDS),Brooklyn (Midwood/Ocean Ave),dentistinbrooklyn.com,info@dentistinbrooklyn.com,Offers implants/Invisalign/cosmetic but listed under 1 category — invisible for those searches,Russian and Spanish-speaking office but no language attributes on Google listing,true,2026-04-04,,
Smile By Design Dental,Brooklyn (Midwood/McDonald Ave),smilebydesigndental.com,info@smilebydesigndental.com,Single category listing — missing Teeth Whitening / Emergency Dentist categories,No Russian or Spanish-speaking staff tag despite serving Midwood/Bensonhurst/Borough Park,true,2026-04-04,,
Bensonhurst Dental Arts,Brooklyn (Bensonhurst),bensonhurstdentalarts.com,BensonhurstDentalArts@gmail.com,Likely single category — missing Cosmetic Dentist / Teeth Whitening searches,No Russian-speaking staff attribute in high Russian-population neighborhood,true,2026-04-04,,
Bensonhurst Endodontics & Dental Implants,Brooklyn (Bensonhurst/West 5th),bedidental.com,info@bedidental.com,Dual-specialist practice (endo + perio) but likely under 1 Google category — missing referral searches for each specialty,Zero Google posts — first-mover visibility signal competitors aren't using either,true,2026-04-04,,
Advanced Dental Care of NYC,Brooklyn,dentistbrooklyn.com,bkdentist@gmail.com,Single category listing — invisible for implant and emergency dentist searches,Low review velocity vs nearby competitors,true,2026-04-04,,
Broitman DDS,Brooklyn (Brighton Beach),brooklynsbestcosmeticdentist.com,info@brooklynsbestcosmeticdentist.com,Single category listing — invisible for emergency dentist and teeth whitening searches,No Russian-speaking staff tag on Google profile — big missed signal in Brighton Beach,true,2026-04-07,,
Catherine Boulos DDS,Brooklyn (Bay Ridge / Dyker Heights),7500dental.com,office@7500dental.com,Single category listing — invisible for emergency dentist and dental implants searches,Serves wide area but no additional neighborhood tags on Google profile,true,2026-04-07,,
Woodside Dental Care,Queens (Woodside),woodsidedentists.com,no-email,Has in-house periodontist but missing Dental Implants category on Google listing,Bilingual English/Spanish staff but no Spanish-speaking tag on Google profile,true,2026-04-07,,
Canarsie Family Dentistry,Brooklyn (Canarsie),canarsiefamilydentistry.com,no-email,Offers cosmetic/ortho/implants but likely single Google category — invisible for those searches,No language tags despite diverse Canarsie neighborhood,true,2026-04-07,,
Prime Smile Dental,Queens (Flushing),primesmiledentist.com,primesmiledentalpc@gmail.com,Implant specialty but likely missing Dental Implants and Cosmetic Dentist Google categories,No language tags for Korean/Chinese staff in majority Asian neighborhood,true,2026-04-07,,
Park Slope Dentistry,Brooklyn (Park Slope),parkslopedentistry.com,parkslopedentistry@gmail.com,Only listed under 'Dentist' — invisible for Cosmetic Dentist & Emergency Dentist searches,Very few photos for a full-service practice,true,2026-04-08,,
