business_name,type,city,website,email,gbp_url,finding_1,finding_2,email_sent,sent_date,replied,converted
Gamma Dental Clinic,dentist,Brooklyn,gammadentalclinic.com,gammadental@gmail.com,,Yelp unclaimed 1 photo - GBP mirrors same gap,Missing cosmetic/implant secondary categories,yes,2026-04-02,,
ExcelPT Physical Therapy,PT,Brooklyn,excelptnyc.com,excelptservicespc@gmail.com,,Russian-speaking attribute not in GBP,Missing sports rehab and orthopedic secondary categories,yes,2026-04-02,,
NY Therapy and Wellness,PT/chiro,Brooklyn,nytherapyandwellness.com,Office@nytherapyandwellness.com,,Multiple specialties but single GBP category,Low review velocity vs area leaders,yes,2026-04-02,,
Irwin Kaufman CPA,accountant,Brooklyn,ikaufmancpa.com,irwin@ikaufmancpa.com,,GBP category likely only Accountant - invisible for tax/bookkeeping searches,Zero GBP posts - first to post owns the signal,yes,2026-04-02,,
Zell & Ettinger CPAs,accountant,Brooklyn,ze.cpa,main@zecpas.com,,Low review count vs map pack competitors,Missing secondary CPA categories,yes,2026-04-02,bounce-hard,
HVAC Brooklyn,HVAC,Brooklyn,hvac-brooklyn.com,info@hvac-brooklyn.com,,Missing Air Duct Cleaning secondary category,Low review count vs map pack leaders,yes,2026-04-02,,
AirCool HVAC,HVAC,Brooklyn/Queens,aircool-hvac.com,info@aircoolpro.com,,Missing Furnace Repair Service and Heating Contractor categories,Few photos vs pack competitors,yes,2026-04-02,,
Smile Dental Studio NYC,dentist,NYC,smiledentalstudio.nyc,info@smiledentalstudio.nyc,,Missing Cosmetic Dentist and Teeth Whitening secondary categories,Zero GBP posts,yes,2026-04-02,,
Bohm Law Firm,law firm,Brooklyn/Manhattan,bohmlawfirm.com,info@bohmlawfirm.com,,Single GBP category - missing Probate and Trust & Estate subcategories,No photos on listing,yes,2026-04-02,,
Regina Gordon Law,law firm,Brooklyn,reginagordonlaw.com,info@reginagordonlaw.com,,Missing Small Business Lawyer and Corporate Attorney secondary categories,Low review velocity vs area competitors,yes,2026-04-02,,
Smile by Design Dental,dentist,Brooklyn,smilebydesigndental.com,info@smilebydesigndental.com,,General Dentistry only - Cosmetic Dentist and Dental Implants categories missing,No Google posts vs active area competitors,yes,2026-04-07,,
Park Slope Dentistry,dentist,Brooklyn,parkslopedentistry.com,parkslopedentistry@gmail.com,,Missing Cosmetic Dentist and Teeth Whitening categories,No Google posts while nearby competitors post regularly,yes,2026-04-07,,
Em's Accounting Service,accountant,Brooklyn,emsaccounting.com,emsaccounting@gmail.com,,Listed as Accountant only - invisible for tax prep and bookkeeper searches,No Google posts - first mover advantage available,yes,2026-04-07,,
Taylor & Associates Law,law firm,Brooklyn,tnalaw.com,office@tnalaw.com,,Single category listing - invisible for immigration/estate/probate searches,Spanish-speaking attribute not set despite bilingual practice,yes,2026-04-07,,
Park Slope Kids Dental Care,dentist,Brooklyn,parkslopekidsdental.com,hello@pskdc.com,,Pediatric Dentist only - missing Orthodontist and related categories,Low review count vs area competitors,yes,2026-04-07,,
Dyker Heights Family Chiropractor,chiropractor,Brooklyn,dykerheightsfamilychiropractor.com,drjoechiro1@verizon.net,,Listed only as Chiropractor - invisible for sports/pediatric chiro searches,Very few photos vs map pack competitors,yes,2026-04-03,,
Richard J Girasole CPA,accountant,Brooklyn,rgirasolecpa.com,rgirasole@rgirasolecpa.com,,Single Accountant category - invisible for tax prep and bookkeeping searches,No recent posts on Google listing,yes,2026-04-03,,
Brooklyn CPA,accountant,Brooklyn,brooklyncpa.com,support@brooklyncpa.com,,Low review count vs map pack competitors,Missing secondary CPA categories (Tax Preparation etc),yes,2026-04-03,,
Family Cosmetic & Implants Dentistry of Brooklyn,dentist,Brooklyn,dentistinbrooklyn.com,smile@dentistinbrooklyn.com,,Cosmetic Dentist and Dental Implants not set as categories on listing,No recent posts vs area competitors,yes,2026-04-03,,
Well Adjusted NYC,chiropractor,Brooklyn,welladjustednyc.com,info@welladjustednyc.com,,Single Chiropractor category - missing massage therapy and prenatal care,Slow review velocity vs Crown Heights map pack leaders,yes,2026-04-03,,
Compassion Chiropractic,chiropractor,Brooklyn,compassionchiro.com,frontdesk.5422@gmail.com,,Single Chiropractor category - invisible for upper cervical and neck pain searches,No Google posts on listing,yes,2026-04-04,,
Brooklyn Chiropractic Studio,chiropractor,Brooklyn,brooklynchiropracticstudio.com,talk@brooklynchiropracticstudio.com,,Pediatric and prenatal specialties not set as categories on Google listing,Low review count vs area competitors,yes,2026-04-04,,
Community Chiropractic & Acupuncture of Park Slope,chiropractor,Brooklyn,parkslopechiropractor.com,ParkSlopeChiropractic@gmail.com,,Acupuncture not listed as separate category on Google listing,No Google posts on listing,yes,2026-04-04,,
Bunker & Co. CPA,accountant,Brooklyn,bunkercpa.com,info@bunker.cpa,,Listed only as Accountant - invisible for tax prep and bookkeeper searches,No Google posts - easy first-mover win,yes,2026-04-04,,
Bay Ridge Dental,dentist,Brooklyn,bayridgedental.com,info@bayridgedental.com,,Cosmetic Dentist and Emergency Dentist not set as categories on Google listing,No Google posts vs area competitors,yes,2026-04-04,,
Brooklyn Chiropractic Partners,chiropractor,Brooklyn,brooklynchiropracticpartners.com,info@brooklynchiropracticpartners.com,,No Google posts - active competitors in Bay Ridge are posting monthly,Missing Sports Chiropractor and Massage Therapist secondary categories,yes,2026-04-08,,
Cherny Law Office,law firm,Brooklyn,lawcherny.com,alex@lawcherny.com,,No Google posts - first immigration attorney to post dominates the activity signal,Missing Family Law Attorney and Divorce Lawyer secondary categories on listing,yes,2026-04-08,,
MEI CPA PC,accountant,Brooklyn,meicpa.com,info@meicpa.com,,No Google posts - first CPA on the block to post gets the active-business signal,Missing Tax Preparation Service and Bookkeeper secondary categories,yes,2026-04-08,,
Grand Street Dental,dentist,Brooklyn,grandstreetdental.com,hello@grandstreetdental.com,,Low photo count vs top-ranking Williamsburg dentists (50+ photos),Missing Cosmetic Dentist and Teeth Whitening Service categories on listing,yes,2026-04-08,,
Brooklyn Dental Collective,dentist,Brooklyn,brooklyndentalcollective.com,hello@brooklyndentalcollective.com,,No Google posts - nearby competitors posting monthly appear far more active to Google,Missing Invisalign Provider and Cosmetic Dentist categories on listing,yes,2026-04-08,,
Nasir Faizi CPA PLLC,accountant,Brooklyn,nasirfaizicpa.com,nasir.faizi@cpa.com,,Listed only as Accountant - invisible for tax preparation/bookkeeper/payroll searches on Coney Island Ave,No Google posts while nearby CPAs posting monthly get active-business signal,yes,2026-04-09,,
Inspira Physical Therapy and Pilates,PT,Brooklyn,brooklynphysicaltherapy.com,hello@inspirapt.com,,Only Physical Therapist category - invisible for Pilates studio/sports rehab/orthopedic searches,Slower review velocity than top 3 map pack competitors in Park Slope,yes,2026-04-09,,
Classic Home Services,HVAC,Brooklyn,heatingandcoolingnewyork.com,info@nyclassichomeservices.com,,Missing Furnace Repair Service/Air Duct Cleaning/Boiler Service categories on listing,No Google posts while top Brooklyn HVAC companies post monthly,yes,2026-04-09,,
LivingArt Dentistry,dentist,Brooklyn,livingartdentistry.com,Smile@LivingArtDentistry.com,,Missing Orthodontist and Teeth Whitening categories - invisible for those searches near Smith Street,Low photo count vs top 3 dental offices in the area,yes,2026-04-09,,
Bed-Stuy Dental Arts,dentist,Brooklyn,bedstuydentalarts.com,bedstuydentalarts@gmail.com,,Missing Cosmetic Dentist and Emergency Dentist categories despite offering those services,No Google posts while nearby dental offices posting monthly appear more active to Google,yes,2026-04-09,,
Brooklyn Health Physical Therapy,PT,Brooklyn,brooklynhealthpt.com,info@brooklynhealthpt.com,,Physical Therapist only - invisible for sports rehab/orthopedic PT/manual therapy searches in Park Slope,No Google posts while nearby PT offices posting monthly pick up engagement signal,yes,2026-04-10,,
StylexStrength,PT,Brooklyn,stylexstrength.com,contact@stylexstrength.com,,Physical Therapist only - invisible for massage therapy and personal training searches in Gowanus,No Google posts while PT studios nearby posting monthly rank above in local results,yes,2026-04-10,,
Smile With Us NY,dentist,Brooklyn,smilewithusny.com,mtorahdds@gmail.com,,General Dentist only - invisible for cosmetic dentist/dental implants/emergency dentist searches in Flatbush,No Google posts while nearby dental offices posting monthly appear more active to Google,yes,2026-04-10,,
Law Offices of Mark Bratkovsky,law firm,Brooklyn,mblawny.com,legal@mblawny.com,,Missing practice area categories - no Family Law Attorney/Real Estate Attorney/Criminal Defense on listing,Russian-speaking staff attribute not set despite bilingual practice on Coney Island Ave,yes,2026-04-10,,
HVAC NYC Pro,HVAC,Brooklyn,hvacnycpro.com,info@hvacnycpro.com,,Missing Furnace Repair Service/Air Duct Cleaning/Boiler Service categories on listing,No Google posts while top 3 Brooklyn HVAC companies post monthly and pick up active-business signal,yes,2026-04-10,,
Iryna Stepanchuk CPA,CPA,Brooklyn,stepanchukcpa.com,info@stepanchukcpa.com,,Zero Google posts - huge first-mover advantage for CPAs in Brooklyn,Missing Tax Preparation Service and Bookkeeper categories on listing,yes,2026-04-13,,
7500 Dental (Catherine Boulos DDS),dentist,Brooklyn,7500dental.com,office@7500dental.com,,Missing Cosmetic Dentist and Dental Implants categories - losing Bay Ridge searches,No language attributes set despite diverse Bay Ridge neighborhood,yes,2026-04-13,,
One Step Physical Therapy,PT,Brooklyn,onestepphysicaltherapy.com,info@onestepphysicaltherapy.com,,Missing Sports Rehabilitation and Orthopedic Physical Therapy categories,No Google posts while nearby PT offices posting monthly rank above in local results,yes,2026-04-13,,
Carroll Gardens Dental Arts,dentist,Brooklyn,cgdentalarts.com,info@cgdentalarts.com,,Missing Emergency Dentist and Teeth Whitening categories on listing,Very few photos vs top 3 ranking competitors on Court Street,yes,2026-04-13,,
Inspira Physical Therapy,PT,Brooklyn,brooklynphysicaltherapy.com,hello@inspirapt.com,,Missing Pilates Studio and Sports Rehabilitation categories despite offering both,No Google posts while PT practices nearby post monthly and rank higher,yes,2026-04-13,,
